Current Assigned Rank,Preference,Start Date,Duration,Grade,Region,Sub-Region,Area(Sector),Dual Training Programme,Places Available,Description,Programme Name,Programme Number,Tags
X,East Midlands - North - DFT - Sep - 1,01/09/2021 00:00,12,Dental Foundation Training,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Andrew Ralph :  Cavendish Dental Care: Chesterfield, Derbyshire. https://heeoe.hee.nhs.uk/node/8300   [Derbyshire Scheme]",,,Derbyshire Scheme
X,East Midlands - North - DFT - Sep - 10,01/09/2021 00:00,12,Dental Foundation Training,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Suhael Zaro :  Genesis Dental Care: South Normanton, Alfreton, Derbyshire. https://heeoe.hee.nhs.uk/node/8302   [Derbyshire Scheme]",,,Derbyshire Scheme
X,East Midlands - North - DFT - Sep - 11,01/09/2021 00:00,12,Dental Foundation Training,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Rami Khatib :  Glumangate Dental Practice: Chesterfield, Derbyshire. https://heeoe.hee.nhs.uk/node/8293   [Derbyshire Scheme]",,,Derbyshire Scheme
X,East Midlands - North - DFT - Sep - 12,01/09/2021 00:00,12,Dental Foundation Training,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Trishan Malhi, Harpreet Saduera:  Cavendish Dental Practice: Cavendish, Derby, Derbyshire. https://heeoe.hee.nhs.uk/node/8294   [Derbyshire Scheme]",,,Derbyshire Scheme
X,East Midlands - North - DFT - Sep - 13,01/09/2021 00:00,12,Dental Foundation Training,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Ishaaq Mirza :  Coach House Dental Practice: Matlock, Derbyshire. https://heeoe.hee.nhs.uk/node/8296   [Derbyshire Scheme]",,,Derbyshire Scheme
X,East Midlands - North - DFT - Sep - 14,01/09/2021 00:00,12,Dental Foundation Training,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Collins Atalor :  Market Place Family Dental Centre: Mansfield, Nottinghamshire. https://heeoe.hee.nhs.uk/node/8433   [Derbyshire Scheme]",,,Derbyshire Scheme
X,East Midlands - North - DFT - Sep - 15,01/09/2021 00:00,12,Dental Foundation Training,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Faiz Khan :  Somercotes Family Dental Centre: Somercotes, Alfreton, Derbyshire. https://heeoe.hee.nhs.uk/node/8434   [Derbyshire Scheme]",,,Derbyshire Scheme
X,East Midlands - North - DFT - Sep - 16,01/09/2021 00:00,12,Dental Foundation Training,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Georgia Karamitrou :  High Street Dental Clinic: Staveley, Chesterfield, Derbyshire. https://heeoe.hee.nhs.uk/node/8435   [Derbyshire Scheme]",,,Derbyshire Scheme
X,East Midlands - North - DFT - Sep - 2,01/09/2021 00:00,12,Dental Foundation Training,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Aneta  Mioduszewska :  Charming Smiles Dental Practice: Alvaston, Derbyshire. https://heeoe.hee.nhs.uk/node/8295   [Derbyshire Scheme]",,,Derbyshire Scheme
X,East Midlands - North - DFT - Sep - 3,01/09/2021 00:00,12,Dental Foundation Training,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Nadia Duarte :  Amber Valley Dental Practice: Swanwick, Alfreton, Derbyshire. https://heeoe.hee.nhs.uk/node/8341   [Derbyshire Scheme]",,,Derbyshire Scheme
X,East Midlands - North - DFT - Sep - 33,01/09/2021 00:00,12,Dental Foundation Training,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Catriona Peterson, Lewis Hamill:  London Road Dental Practice: Newark, Nottinghamshire. https://heeoe.hee.nhs.uk/node/8321   [Lincolnshire and Nottinghamshire]",,,Lincolnshire and Nottinghamshire
X,East Midlands - North - DFT - Sep - 34,01/09/2021 00:00,12,Dental Foundation Training,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Chandan Sharma :  Buttercross View Dental Practice: Bingham, Nottinghamshire. https://heeoe.hee.nhs.uk/node/8323   [Lincolnshire and Nottinghamshire]",,,Lincolnshire and Nottinghamshire
X,East Midlands - North - DFT - Sep - 35,01/09/2021 00:00,12,Dental Foundation Training,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Graham Wilkinson, Riten Patel:  Carlton Dental Care: Carlton, Nottinghamshire. https://heeoe.hee.nhs.uk/node/8324   [Lincolnshire and Nottinghamshire]",,,Lincolnshire and Nottinghamshire
X,East Midlands - North - DFT - Sep - 36,01/09/2021 00:00,12,Dental Foundation Training,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Riten  Patel, Graham Wilkkinson:  Carlton Dental Care: Carlton, Nottinghamshire. https://heeoe.hee.nhs.uk/node/8325   [Lincolnshire and Nottinghamshire]",,,Lincolnshire and Nottinghamshire
X,East Midlands - North - DFT - Sep - 37,01/09/2021 00:00,12,Dental Foundation Training,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Vitesh Patel, Mayur Patel:  Sherwood Dental care: Nottingham, Nottinghamshire. https://heeoe.hee.nhs.uk/node/8320   [Lincolnshire and Nottinghamshire]",,,Lincolnshire and Nottinghamshire
